유형명,장소명,주소
자연형,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1
자연형,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 성산리 1
자연형,우도(해양도립공원),제주특별자치도 제주시 우도면 연평리 904-1
자연형,비자림,제주특별자치도 제주시 구좌읍 평대리 3161-1
자연형,만장굴,제주특별자치도 제주시 구좌읍 월정리 산 41-5
자연형,천지연폭포,제주특별자치도 서귀포시 서홍동 666-1
자연형,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8
자연형,섭지코지,제주특별자치도 서귀포시 성산읍 고성리
자연형,한라산국립공원,제주특별자치도 제주시 1100로 2070-61
자연형,한라산영실코스,제주특별자치도 서귀포시 하원동 산 1-1
자연형,주상절리대(중문대포해안),제주특별자치도 서귀포시 중문동 2768-1
자연형,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3
자연형,쇠소깍,제주특별자치도 서귀포시 하효동 990-1
자연형,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선흘리 478
자연형,정방폭포,제주특별자치도 서귀포시 동홍동 278
자연형,애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359
자연형,산굼부리,제주특별자치도 제주시 조천읍 교래리 342-2
자연형,천제연폭포,제주특별자치도 서귀포시 중문동 2232
자연형,황우지해안,제주특별자치도 서귀포시 서홍동 766-1
자연형,제주절물자연휴양림,제주특별자치도 제주시 봉개동 산 78-1
자연형,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산28
자연형,제주허브동산,제주특별자치도 서귀포시 표선면 표선리 2608
자연형,돈내코,제주특별자치도 서귀포시 상효동 1503
자연형,서귀포 치유의 숲,제주 서귀포시 산록남로 2271 서귀포치유의숲
액티비티형,협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2447
액티비티형,함덕해수욕장,제주특별자치도 제주시 조천읍 함덕리 산 14-1
액티비티형,월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33
액티비티형,김녕해수욕장,제주특별자치도 제주시 구좌읍 김녕리 4330
액티비티형,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 고성리 127-3
액티비티형,금능해수욕장,제주특별자치도 제주시 한림읍 금능리 2036-1
액티비티형,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리)
액티비티형,제주실탄사격장,제주특별자치도 서귀포시 상예동 2802
액티비티형,제주레일바이크,제주특별자치도 제주시 구좌읍 종달리 4639
액티비티형,제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘리 870
액티비티형,제주하늘을날다(패러글라이딩),제주특별자치도 제주시 도남동 78
액티비티형,제주아트서커스,제주특별자치도 서귀포시 안덕면 동광로 214
액티비티형,렛츠런파크,제주특별자치도 제주시 애월읍 평화로 2144
액티비티형,9.81 파크,제주특별자치도 제주시 애월읍 어음리 산 131
액티비티형,제주빅볼랜드,제주특별자치도 제주시 구좌읍 송당리 산164-4
액티비티형,제주라프 짚라인,제주특별자치도 제주시 조천읍 선흘리 600
액티비티형,월정 투명카약,제주특별자치도 제주시 구좌읍 월정리 1400-33
액티비티형,우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산리 347-9
액티비티형,신비의도로카트체험장,제주특별자치도 제주시 노형동 187-3
액티비티형,더마파크,제주특별자치도 제주시 한림읍 월림7길 155
액티비티형,퍼시픽 마리나 요트투어,제주특별자치도 서귀포시 색달동 2950-5
액티비티형,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47 메이즈랜드
인생샷형,카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271
인생샷형,헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 상창리 1963-2
인생샷형,스누피가든,제주특별자치도 제주시 구좌읍 송당리 2303-3
인생샷형,일출랜드,제주특별자치도 서귀포시 성산읍 삼달리 1010
인생샷형,"더럭초등학교(구, 더럭분교)",제주특별자치도 제주시 애월읍 하가리 1580-1
인생샷형,위미리 동백나무군락,제주특별자치도 서귀포시 남원읍 위미리 903-1
인생샷형,제주베니스랜드,제주특별자치도 서귀포시 성산읍 난산리 2575
인생샷형,에코랜드 테마파크,제주특별자치도 제주시 조천읍 대흘리 1221-1
인생샷형,신화테마파크,서귀포시 안덕면 신화역사로304번길 98
인생샷형,소인국테마파크,제주특별자치도 서귀포시 안덕면 서광리 725
인생샷형,테디베어뮤지엄제주,제주특별자치도 서귀포시 색달동 2889
인생샷형,수목원테마파크,제주특별자치도 제주시 연동 1320
인생샷형,구엄리돌염전,제주특별자치도 제주시 애월읍 구엄리 609-1
인생샷형,동백포레스트,서귀포시 남원읍 신례리 1767
인생샷형,제주불빛정원 테마파크,제주특별자치도 제주시 애월읍 유수암리 1083
인생샷형,아르떼뮤지엄,제주특별자치도 제주시 애월읍 어음리 1503
인생샷형,비체올린,제주시 한경면 판포리 725번지
인생샷형,도순다원,제주특별자치도 서귀포시 도순동 1-1
인생샷형,드라마월드,제주특별자치도 제주시 애월읍 봉성리 4556
인생샷형,시크릿가든촬영지,제주특별자치도 서귀포시 중문동 2563-1
네트워킹형,동문시장투어 라이브쿠킹 다이닝,제주특별자치도 제주시 동문로 16
네트워킹형,잇지제주,"제주시 아란14길 2‑5, 1층	"
네트워킹형,카페 아테나,제주시 한림읍 명랑로 43
네트워킹형,카페 소심한 책방,제주시 구좌읍 송당리 2170
네트워킹형,토토아뜰리에,제주 제주시 애월읍 고성북길 112
네트워킹형,우연한 식탁,제주 제주시 관덕로 44 제주소통협력센터
네트워킹형,바람이 머무는 곳 게스트하우스,제주시 애월읍 고내8길 35
네트워킹형,플레이스캠프 제주,제주시 구좌읍 번영로 2546
네트워킹형,제주 일상식탁 쿠킹 클래스        ,제주시 관덕로 17길 27
네트워킹형,백패커스홈,제주시 조천읍 신북로 64
네트워킹형,동문취향 게스트하우스,제주 제주시 관덕로15길 4 
네트워킹형,비지터 게스트하우스,제주 제주시 오현길 85
네트워킹형,오름게스트하우스,제주시 오현길 91
네트워킹형,제주별밤게스트하우스,제주시 중앙로 18
네트워킹형,도두게스트하우스,제주시 도두일동길 11
네트워킹형,제주 요리노리 공방,제주시 중앙로 63
네트워킹형,동문시장 청년몰,제주시 동문로 9
네트워킹형,제주 맥주 양조장,제주시 한경면 청수로 85
네트워킹형,이시보양조장,제주 서귀포시 대정읍 도원남로158번길 36 이시보양조장
네트워킹형,제주 커피박물관 바움,제주시 조천읍 와흘길 31
먹방형,수우동 (일식당),제주 제주시 한림읍 협재1길 11
먹방형,"우무 (카페, 디저트)",제주 제주시 한림읍 한림로 542-1
먹방형,일빈관 (중식당),제주 제주시 한림읍 한림상로 186 1층 일빈관
먹방형,보영관점 (중식당),제주 제주시 한림읍 한림로 692-1
먹방형,떡하니 문어떡볶이 (떡볶이),제주 제주시 구좌읍 행원로9길 9-5
먹방형,"그릉그릉 파스타 (스파게티, 파스타 전문) ",제주 제주시 구좌읍 구좌로 31
먹방형,듬뿍 토스트 (토스트),제주 제주시 구좌읍 세평항로 13
먹방형,"세화갈비 (육류, 고기요리)",제주 제주시 구좌읍 구좌로 39
먹방형,"비수기애호가 (카페, 디저트)",제주 제주시 구좌읍 해맞이해안로 997 2층
먹방형,소라횟집 (생선회),제주 제주시 서부두길 18-2
먹방형,숨어있는 집 (한식) (칼국수 + 치킨조합에 생맥주) ,제주 제주시 조천읍 함덕30길 14-5 1층
먹방형,백록집 (생선회),제주 제주시 조천읍 함덕로 24
먹방형,함덕주막 (요리주점),함덕로 20 1층
먹방형,상상 (이자카야),제주특별자치도 제주시 조천읍 신북로 487 상상 함덕점
먹방형,맹기리수산 (생선회),제주 제주시 조천읍 신촌5길 58-2 맹기리수산
먹방형,조천수산 (생선회) ,제주특별자치도 제주시 조천읍 조천북1길 35-8 
먹방형,마씸 (한식),제주특별자치도 서귀포시 성산읍 환해장성로 129-1
먹방형,신해바라기 (한식),제주특별자치도 제주시 관덕로13길 13
먹방형,"한라미담(우동, 소바)",제주 제주시 관덕로11길 35 2층
먹방형,적점 (아시아음식),산지로 17 나동 1층
먹방형, 오랑우탄면사무소 (아시아음식),제주특별자치도 서귀포시 안덕면 산방로 367-1 1층
먹방형,미풍해장국 본점 (해장국),제주특별자치도 제주시 삼도이동 143-2
먹방형,신해바라기 (한식),제주 제주시 관덕로13길 13
먹방형,자양식당 (중식당),제주특별자치도 제주시 관덕로6길 17 1층 자양식당
먹방형,사랑분식 (종합분식),제주특별자치도 제주시 동문로4길 12
먹방형,"부엌두 (돈카츠, 멘치카츠)",제주특별차지시도 제주시 만덕로4길 25 1층
먹방형,김명자 굴국밥 (굴요리),제주 제주시 연북로 168 김명자굴국밥 제주본점
먹방형,중문 덕성원 (중식당),제주 서귀포시 중문관광로 323 2층
먹방형,카고 크루즈 (양식),제주 제주시 탑동로 43 2층
먹방형,명월국민학교 (폐업),
체험형,보롬왓,제주특별자치도 서귀포시 표선면 성읍리 3229-4
체험형,이니스프리제주하우스,제주특별자치도 서귀포시 안덕면 서광리 1235-1
체험형,케이제주씨워킹,제주특별자치도 서귀포시 대정읍 하모리 646-20
체험형,아날로그감귤밭,제주특별자치도 제주시 해안동 2463
체험형,최남단체험감귤농장(가뫼물),제주특별자치도 서귀포시 남원읍 남원리 2140-6
체험형,쉼한모금,제주특별자치도 서귀포시 색달동 산 50
체험형,귤밭76번지,제주특별자치도  제주시 화북이동 5495-2
체험형,귤밭에댕댕이,제주특별자치도 제주시 애월읍 고성서5길 15 귤밭에댕댕이
체험형,레몬트리 향수공방,제주특별자치도 제주시 조천읍 신북로 92-1 1층
체험형,제주 감귤로 만드는 샹그리아,제주특별자치도 제주시 애월읍 평화로 2590 알제이 체험스튜디오
체험형,세컨드 찬스 공방,제주특별자치도 제주시 한경면 판포중2길 7-3 1층(오른쪽 건물/노란 문)
체험형,올티스,제주특별자치도 제주시 조천읍 거문오름길 23-58 올티스 다원
체험형,제주승마공원,제주특별자치도 제주시 애월읍 유수암리 1175
체험형,가시리조랑말체험공원,제주특별자치도 서귀포시 표선면 가시리 3149-33
체험형,중문승마공원,제주특별자치도 서귀포시 대포동 2270
체험형,미요캔들,제주특별자치도 제주시 이도2동 2036-1
문화예술형,오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 서광리 1235-1
문화예술형,박물관은 살아있다,제주특별자치도 서귀포시 색달동 2629
문화예술형,제주러브랜드,제주특별자치도 제주시 연동 680-26
문화예술형,본태박물관,제주특별자치도 서귀포시 안덕면 상천리 380
문화예술형,해녀박물관,제주특별자치도 제주시 구좌읍 상도리 3204-1
문화예술형,감귤박물관,제주특별자치도 서귀포시 신효동 산 4
문화예술형,제주특별자치도 도립미술관,제주특별자치도 제주시 연동 680-7
문화예술형,제주항공우주박물관,제주특별자치도 서귀포시 안덕면 서광리 산 39 항공우주박물관
문화예술형,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌리 1599
문화예술형,제주현대미술관,제주특별자치도 제주시 한경면 저지리 2114-63
문화예술형,초콜릿박물관,제주특별자치도 서귀포시 대정읍 일과리 551-18
문화예술형,브릭캠퍼스,제주특별자치도 제주시 노형동 245
문화예술형,북촌돌하르방미술관,제주특별자치도 제주시 조천읍 북촌리 976
문화예술형,건강과성박물관,제주특별자치도 서귀포시 안덕면 감산리 1736
문화예술형,국립제주박물관,제주특별자치도 제주시 건입동 261
문화예술형,넥슨컴퓨터박물관,제주특별자치도 제주시 노형동 86
문화예술형,세계자동차 & 피아노박물관,제주특별자치도 서귀포시 안덕면 상창리 2065-4
문화예술형,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달리 437-5
문화예술형,이중섭미술관,제주특별자치도 서귀포시 서귀동 532-1
문화예술형,휘닉스 제주 유민 아르누보 뮤지엄,제주특별자치도 서귀포시 성산읍 고성리 127-2
문화예술형,제주 아리랑 혼,제주특별자치도 서귀포시 표선면 번영로 2564-21 제주 아리랑
문화예술형,사슴책방,제주 제주시 조천읍 중산간동로 698-73 1층
레트로형,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍리 855-1
레트로형,제주민속촌,제주특별자치도 서귀포시 표선면 표선리 40-1
레트로형,이중섭거리,제주특별자치도 서귀포시 서귀동 512-1
레트로형,선녀와나무꾼,제주특별자치도 제주시 조천읍 선흘리 1997
레트로형,취하도,제주 제주시 구좌읍 하도15길 107-17
레트로형,노형수퍼마켙,제주 제주시 노형로 89
레트로형,타임스탬프,제주 제주시 조천읍 신북로 92-1 1층
레트로형,비밀역,제주 서귀포시 안덕면 화순중앙로124번길 26-1 비밀역
레트로형,전농로 서사라문화거리,제주특별자치도 제주시 서사로7길 2
레트로형,프릳츠 성산점,제주 서귀포시 성산읍 일출로 222
레트로형,경성살롱,제주 서귀포시 이어도로 1051
레트로형,상점오묘,제주 제주시 아란11길 23 1층
레트로형,표선카페 7부두,제주 서귀포시 표선면 표선당포로 17 표선카페 7부두
레트로형,카페세탁쏘,제주 제주시 서사로19길 15 1층 카페세탁쏘
레트로형,킷사핫피엔도,제주 제주시 전농로 48-1 1층 
레트로형,제주시차,제주 제주시 한림읍 귀덕5길 20-14 골목 끝
레트로형,고토커피바,제주 제주시 애월읍 구엄동3길 56 1층 고토커피바
레트로형,두멩이 골목,제주 제주시 일도2동 1006-11
레트로형,호랑이 주택,제주 제주시 한림읍 명랑남길 17 단독주택
레트로형,레트로보이즈,제주 서귀포시 태평로 363